Periodo;Unidad de fomento (UF)
ago.1977;395,88
sept.1977;410,60
oct.1977;425,05
nov.1977;441,18
dic.1977;457,39
ene.1978;468,90
feb.1978;481,42
mar.1978;491,29
abr.1978;503,55
may.1978;517,75
jun.1978;530,52
jul.1978;541,69
ago.1978;553,28
sept.1978;567,33
oct.1978;583,40
nov.1978;598,68
dic.1978;609,40
ene.1979;617,79
feb.1979;627,84
mar.1979;640,76
abr.1979;653,11
may.1979;670,87
jun.1979;688,08
jul.1979;705,42
ago.1979;725,13
sept.1979;752,79
oct.1979;786,49
nov.1979;814,12
dic.1979;833,61
ene.1980;851,46
feb.1980;869,64
mar.1980;887,50
abr.1980;906,00
may.1980;931,11
jun.1980;953,89
jul.1980;975,03
ago.1980;993,99
sept.1980;1.014,18
oct.1980;1.036,30
nov.1980;1.060,09
dic.1980;1.089,86
ene.1981;1.116,34
feb.1981;1.136,49
mar.1981;1.151,28
abr.1981;1.156,81
may.1981;1.167,13
jun.1981;1.181,16
jul.1981;1.192,82
ago.1981;1.196,13
sept.1981;1.204,87
oct.1981;1.218,19
nov.1981;1.227,34
dic.1981;1.231,01
ene.1982;1.234,49
feb.1982;1.240,96
mar.1982;1.244,80
abr.1982;1.239,46
may.1982;1.242,24
jun.1982;1.239,97
jul.1982;1.237,82
ago.1982;1.250,15
sept.1982;1.278,21
oct.1982;1.322,51
nov.1982;1.380,15
dic.1982;1.441,05
ene.1983;1.481,40
feb.1983;1.502,04
mar.1983;1.522,49
abr.1983;1.532,07
may.1983;1.564,75
jun.1983;1.604,21
jul.1983;1.628,65
ago.1983;1.655,90
sept.1983;1.690,33
oct.1983;1.733,96
nov.1983;1.774,29
dic.1983;1.811,90
ene.1984;1.832,89
feb.1984;1.841,90
mar.1984;1.842,67
abr.1984;1.851,90
may.1984;1.891,65
jun.1984;1.919,10
jul.1984;1.943,01
ago.1984;1.966,16
sept.1984;1.980,97
oct.1984;2.000,89
nov.1984;2.083,54
dic.1984;2.211,52
ene.1985;2.245,00
feb.1985;2.284,71
mar.1985;2.348,75
abr.1985;2.401,44
may.1985;2.465,20
jun.1985;2.520,08
jul.1985;2.582,40
ago.1985;2.659,82
sept.1985;2.693,73
oct.1985;2.720,68
nov.1985;2.754,90
dic.1985;2.796,91
ene.1986;2.839,39
feb.1986;2.885,32
mar.1986;2.949,38
abr.1986;2.982,54
may.1986;3.026,09
jun.1986;3.062,82
jul.1986;3.090,07
ago.1986;3.127,12
sept.1986;3.155,27
oct.1986;3.182,29
nov.1986;3.228,60
dic.1986;3.276,50
ene.1987;3.323,42
feb.1987;3.375,93
mar.1987;3.441,50
abr.1987;3.499,31
may.1987;3.563,20
jun.1987;3.638,74
jul.1987;3.687,23
ago.1987;3.723,91
sept.1987;3.782,44
oct.1987;3.841,17
nov.1987;3.917,87
dic.1987;4.006,58
ene.1988;4.066,54
feb.1988;4.085,02
mar.1988;4.110,11
abr.1988;4.142,74
may.1988;4.207,49
jun.1988;4.239,44
jul.1988;4.262,39
ago.1988;4.282,21
sept.1988;4.294,94
oct.1988;4.329,49
nov.1988;4.374,71
dic.1988;4.444,37
ene.1989;4.528,23
feb.1989;4.603,26
mar.1989;4.644,29
abr.1989;4.672,20
may.1989;4.747,16
jun.1989;4.808,15
jul.1989;4.900,55
ago.1989;4.989,24
sept.1989;5.068,02
oct.1989;5.135,28
nov.1989;5.250,79
dic.1989;5.385,71
ene.1990;5.485,55
feb.1990;5.602,36
mar.1990;5.711,62
abr.1990;5.764,50
may.1990;5.889,91
jun.1990;5.992,02
jul.1990;6.094,26
ago.1990;6.218,78
sept.1990;6.329,62
oct.1990;6.504,56
nov.1990;6.795,22
dic.1990;7.005,23
ene.1991;7.068,66
feb.1991;7.102,45
mar.1991;7.126,14
abr.1991;7.154,19
may.1991;7.248,88
jun.1991;7.389,87
jul.1991;7.560,14
ago.1991;7.698,41
sept.1991;7.823,95
oct.1991;7.922,33
nov.1991;8.056,84
dic.1991;8.244,15
ene.1992;8.331,25
feb.1992;8.426,58
mar.1992;8.482,87
abr.1992;8.466,16
may.1992;8.534,91
jun.1992;8.638,75
jul.1992;8.725,94
ago.1992;8.797,65
sept.1992;8.899,13
oct.1992;9.044,63
nov.1992;9.227,07
dic.1992;9.360,29
ene.1993;9.459,24
feb.1993;9.475,33
mar.1993;9.499,27
abr.1993;9.541,21
may.1993;9.618,18
jun.1993;9.751,44
jul.1993;9.872,47
ago.1993;9.938,69
sept.1993;10.063,49
oct.1993;10.247,94
nov.1993;10.410,45
dic.1993;10.607,92
ene.1994;10.631,46
feb.1994;10.672,37
mar.1994;10.758,05
abr.1994;10.815,38
may.1994;10.914,63
jun.1994;10.996,55
jul.1994;11.121,50
ago.1994;11.183,95
sept.1994;11.264,46
oct.1994;11.369,15
nov.1994;11.431,17
dic.1994;11.499,77
ene.1995;11.559,75
feb.1995;11.603,26
mar.1995;11.669,84
abr.1995;11.731,45
may.1995;11.801,85
jun.1995;11.872,20
jul.1995;11.947,03
ago.1995;12.033,45
sept.1995;12.153,21
oct.1995;12.313,00
nov.1995;12.397,45
dic.1995;12.473,40
ene.1996;12.495,82
feb.1996;12.531,76
mar.1996;12.576,47
abr.1996;12.644,47
may.1996;12.742,59
jun.1996;12.861,14
jul.1996;12.952,12
ago.1996;13.002,57
sept.1996;13.045,10
oct.1996;13.100,55
nov.1996;13.171,85
dic.1996;13.253,22
ene.1997;13.307,83
feb.1997;13.362,96
mar.1997;13.441,18
abr.1997;13.529,33
may.1997;13.572,79
jun.1997;13.609,75
jul.1997;13.637,68
ago.1997;13.679,34
sept.1997;13.751,68
oct.1997;13.826,21
nov.1997;13.957,81
dic.1997;14.084,14
ene.1998;14.104,20
feb.1998;14.138,44
mar.1998;14.206,08
abr.1998;14.214,83
may.1998;14.269,32
jun.1998;14.318,68
jul.1998;14.352,39
ago.1998;14.398,73
sept.1998;14.451,63
oct.1998;14.503,44
nov.1998;14.585,53
dic.1998;14.674,32
ene.1999;14.708,41
feb.1999;14.749,30
mar.1999;14.724,52
abr.1999;14.755,61
may.1999;14.834,09
jun.1999;14.882,74
jul.1999;14.899,44
ago.1999;14.914,36
sept.1999;14.932,99
oct.1999;14.962,48
nov.1999;14.999,88
dic.1999;15.051,20
ene.2000;15.086,47
feb.2000;15.126,66
mar.2000;15.173,85
abr.2000;15.265,89
may.2000;15.364,81
jun.2000;15.430,45
jul.2000;15.463,30
ago.2000;15.490,19
sept.2000;15.514,09
oct.2000;15.571,99
nov.2000;15.663,00
dic.2000;15.745,21
ene.2001;15.786,02
feb.2001;15.810,24
mar.2001;15.832,33
abr.2001;15.821,37
may.2001;15.896,09
jun.2001;15.970,96
jul.2001;16.023,24
ago.2001;16.028,47
sept.2001;16.039,48
oct.2001;16.158,19
nov.2001;16.246,20
dic.2001;16.262,03
ene.2002;16.249,81
feb.2002;16.211,96
mar.2002;16.198,33
abr.2002;16.218,42
may.2002;16.292,63
jun.2002;16.345,43
jul.2002;16.355,16
ago.2002;16.361,55
sept.2002;16.423,41
oct.2002;16.506,83
nov.2002;16.639,70
dic.2002;16.745,79
ene.2003;16.722,23
feb.2003;16.679,10
mar.2003;16.723,35
abr.2003;16.868,94
may.2003;17.012,00
jun.2003;16.990,50
jul.2003;16.941,92
ago.2003;16.934,83
sept.2003;16.931,69
oct.2003;16.963,80
nov.2003;16.980,06
dic.2003;16.944,03
ene.2004;16.893,79
feb.2004;16.848,14
mar.2004;16.822,17
abr.2004;16.838,07
may.2004;16.903,26
jun.2004;16.974,76
jul.2004;17.055,07
ago.2004;17.115,04
sept.2004;17.159,07
oct.2004;17.213,25
nov.2004;17.241,18
dic.2004;17.291,91
ene.2005;17.311,91
feb.2005;17.253,10
mar.2005;17.208,61
abr.2005;17.220,89
may.2005;17.333,84
jun.2005;17.460,00
jul.2005;17.521,36
ago.2005;17.600,09
sept.2005;17.689,96
oct.2005;17.778,00
nov.2005;17.926,88
dic.2005;17.987,42
ene.2006;17.951,52
feb.2006;17.917,05
mar.2006;17.922,93
abr.2006;17.938,69
may.2006;18.042,17
jun.2006;18.131,13
jul.2006;18.189,52
ago.2006;18.291,18
sept.2006;18.373,19
oct.2006;18.415,56
nov.2006;18.403,51
dic.2006;18.354,91
ene.2007;18.331,93
feb.2007;18.356,63
mar.2007;18.387,11
abr.2007;18.382,55
may.2007;18.461,97
jun.2007;18.570,58
jul.2007;18.697,42
ago.2007;18.873,60
sept.2007;19.078,16
oct.2007;19.289,42
nov.2007;19.460,39
dic.2007;19.550,76
ene.2008;19.688,10
feb.2008;19.762,50
mar.2008;19.787,24
abr.2008;19.883,12
may.2008;20.019,16
jun.2008;20.142,86
jul.2008;20.395,89
ago.2008;20.678,27
sept.2008;20.896,36
oct.2008;21.098,31
nov.2008;21.316,35
dic.2008;21.454,72
ene.2009;21.379,18
feb.2009;21.158,43
mar.2009;21.004,32
abr.2009;20.960,11
may.2009;21.004,81
jun.2009;20.962,55
jul.2009;20.933,10
ago.2009;20.952,43
sept.2009;20.874,76
oct.2009;20.867,29
nov.2009;21.009,42
dic.2009;20.989,81
ene.2010;20.899,82
feb.2010;20.877,51
mar.2010;20.966,13
abr.2010;21.019,75
may.2010;21.064,65
jun.2010;21.160,60
jul.2010;21.224,29
ago.2010;21.261,05
sept.2010;21.344,51
oct.2010;21.356,86
nov.2010;21.421,11
dic.2010;21.445,15
ene.2011;21.466,63
feb.2011;21.497,96
mar.2011;21.556,35
abr.2011;21.633,36
may.2011;21.773,99
jun.2011;21.848,67
jul.2011;21.924,28
ago.2011;21.964,10
sept.2011;21.992,35
oct.2011;22.053,13
nov.2011;22.160,11
dic.2011;22.259,95
ene.2012;22.346,12
feb.2012;22.447,54
mar.2012;22.492,50
abr.2012;22.567,73
may.2012;22.608,96
jun.2012;22.626,49
jul.2012;22.609,47
ago.2012;22.562,02
sept.2012;22.571,05
oct.2012;22.650,36
nov.2012;22.813,45
dic.2012;22.886,63
ene.2013;22.811,83
feb.2013;22.818,59
mar.2013;22.857,28
abr.2013;22.898,59
may.2013;22.933,69
jun.2013;22.857,11
jul.2013;22.888,71
ago.2013;23.002,78
sept.2013;23.067,92
oct.2013;23.133,47
nov.2013;23.221,88
dic.2013;23.267,17
ene.2014;23.369,91
feb.2014;23.482,16
mar.2014;23.552,54
abr.2014;23.685,06
may.2014;23.860,55
jun.2014;23.986,19
jul.2014;24.048,75
ago.2014;24.081,02
sept.2014;24.134,09
oct.2014;24.237,79
nov.2014;24.438,18
dic.2014;24.617,62
ene.2015;24.601,14
feb.2015;24.538,61
mar.2015;24.577,93
abr.2015;24.685,43
may.2015;24.832,61
jun.2015;24.955,07
jul.2015;25.028,87
ago.2015;25.144,67
sept.2015;25.264,76
oct.2015;25.426,52
nov.2015;25.548,23
dic.2015;25.625,13
ene.2016;25.629,09
feb.2016;25.661,05
mar.2016;25.772,43
abr.2016;25.858,01
may.2016;25.954,31
jun.2016;26.025,99
jul.2016;26.093,10
ago.2016;26.181,82
sept.2016;26.222,27
oct.2016;26.238,10
nov.2016;26.288,20
dic.2016;26.334,19
ene.2017;26.340,76
feb.2017;26.336,93
mar.2017;26.442,88
abr.2017;26.512,42
may.2017;26.603,14
jun.2017;26.651,22
jul.2017;26.643,94
ago.2017;26.584,37
sept.2017;26.631,13
oct.2017;26.656,66
nov.2017;26.662,41
dic.2017;26.779,99
ene.2018;26.811,97
feb.2018;26.864,09
mar.2018;26.961,32
abr.2018;26.980,73
may.2018;27.040,06
jun.2018;27.119,59
jul.2018;27.187,19
ago.2018;27.237,98
sept.2018;27.329,01
oct.2018;27.393,34
nov.2018;27.480,95
dic.2018;27.561,53
ene.2019;27.558,53
feb.2019;27.546,04
mar.2019;27.564,62
abr.2019;27.601,09
may.2019;27.720,11
jun.2019;27.826,20
jul.2019;27.946,95
ago.2019;27.968,13
sept.2019;28.021,53
oct.2019;28.063,18
nov.2019;28.122,86
dic.2019;28.288,60
ene.2020;28.324,55
feb.2020;28.387,75
mar.2020;28.539,73
abr.2020;28.648,24
may.2020;28.713,19
jun.2020;28.709,15
jul.2020;28.681,36
ago.2020;28.667,73
sept.2020;28.694,02
oct.2020;28.760,64
nov.2020;28.933,88
dic.2020;29.075,47
ene.2021;29.085,91
feb.2021;29.194,81
mar.2021;29.360,08
abr.2021;29.439,72
may.2021;29.555,98
jun.2021;29.665,83
jul.2021;29.740,92
ago.2021;29.827,73
sept.2021;30.025,93
oct.2021;30.214,65
nov.2021;30.573,24
dic.2021;30.907,42
ene.2022;31.096,09
feb.2022;31.365,30
mar.2022;31.669,70
abr.2022;31.905,76
may.2022;32.453,99
jun.2022;32.894,82
jul.2022;33.268,63
ago.2022;33.616,11
sept.2022;34.059,41
oct.2022;34.446,46
nov.2022;34.722,91
dic.2022;34.948,74
ene.2023;35.227,24
feb.2023;35.382,14
mar.2023;35.579,62
abr.2023;35.666,65
may.2023;35.969,53
jun.2023;36.069,31
jul.2023;36.079,89
ago.2023;36.068,70
sept.2023;36.175,90
oct.2023;36.273,59
nov.2023;36.489,40
dic.2023;36.669,38
ene.2024;36.805,73
feb.2024;36.750,98
mar.2024;36.984,32
abr.2024;37.187,51
may.2024;37.349,91
jun.2024;37.514,77
jul.2024;37.591,38
